,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,45.0,75,75,21.85,US,1619797843
1,Hobart,-42.8794,147.3294,51.8,82,2,5.75,AU,1619797935
2,Punta Arenas,-53.15,-70.9167,41.0,93,75,9.22,CL,1619798059
3,Albany,42.6001,-73.9662,55.0,69,100,1.99,US,1619798060
4,Ribeira Grande,38.5167,-28.7,62.6,63,40,8.05,PT,1619798062
5,Dikson,73.5069,80.5464,8.8,95,89,8.81,RU,1619798063
6,Fortuna,40.5982,-124.1573,55.99,100,1,5.75,US,1619797737
7,Marion,39.7684,-86.1555,66.99,45,20,20.71,US,1619797996
8,Rikitea,-23.1203,-134.9692,78.8,74,49,19.1,PF,1619797679
9,Bengkulu,-3.8004,102.2655,77.67,87,100,5.48,ID,1619797531
10,Moussoro,13.6408,16.4901,103.98,4,0,7.11,TD,1619798064
11,Pudozh,61.8099,36.5345,43.2,50,8,1.77,RU,1619798065
12,Torbay,47.6666,-52.7314,50.0,57,75,12.66,CA,1619798065
13,Coyhaique,-45.5752,-72.0662,55.4,88,75,6.91,CL,1619798066
14,Hermanus,-34.4187,19.2345,63.0,59,3,7.58,ZA,1619798066
15,Cayenne,4.9333,-52.3333,82.4,78,75,5.75,GF,1619798067
16,Samarai,-10.6167,150.6667,79.48,78,53,8.16,PG,1619798067
17,Busselton,-33.65,115.3333,51.01,97,88,3.67,AU,1619798068
18,Zhangaözen,43.3,52.8,68.36,28,85,12.01,KZ,1619798068
19,Ushuaia,-54.8,-68.3,41.0,87,40,2.01,AR,1619798069
20,Cidreira,-30.1811,-50.2056,71.76,62,0,12.75,BR,1619798069
21,Nishihara,26.1842,127.7558,71.6,78,75,8.05,JP,1619798070
22,Saint George,37.1041,-113.5841,72.0,22,1,5.75,US,1619797896
23,Ponta do Sol,32.6667,-17.1,66.2,48,20,11.5,PT,1619798070
24,Boyuibe,-20.4167,-63.2833,68.0,60,0,6.89,BO,1619798070
25,Pisco,-13.7,-76.2167,71.01,78,8,8.05,PE,1619798071
26,Lompoc,34.6391,-120.4579,53.6,100,90,4.61,US,1619798072
27,Bluff,-46.6,168.3333,42.01,93,52,4.0,NZ,1619798072
28,Quixadá,-4.9714,-39.0153,86.65,51,100,8.77,BR,1619798072
29,Puerto Ayora,-0.7393,-90.3518,78.8,78,75,11.5,EC,1619798073
30,São Filipe,14.8961,-24.4956,73.47,75,88,16.82,CV,1619798073
31,Saint Paul Harbor,57.79,-152.4072,39.2,70,1,3.44,US,1619798074
32,Nurota,40.5614,65.6886,71.6,49,73,13.8,UZ,1619798074
33,Atuona,-9.8,-139.0333,78.69,71,21,5.35,PF,1619798075
34,Hailar,49.2,119.7,38.03,72,100,2.89,CN,1619798075
35,Swellendam,-34.0226,20.4417,64.4,42,1,9.22,ZA,1619798076
36,Christchurch,-43.5333,172.6333,51.01,87,75,4.61,NZ,1619798076
37,Vaini,-21.2,-175.2,75.2,94,90,8.05,TO,1619798077
38,Castro,-24.7911,-50.0119,67.23,52,28,10.98,BR,1619798077
39,Deputatsky,69.3,139.9,18.18,96,100,1.57,RU,1619798077
40,Bredasdorp,-34.5322,20.0403,64.4,42,43,9.22,ZA,1619798078
41,Kumul,42.8,93.45,76.57,12,0,3.31,CN,1619798078
42,Kapaa,22.0752,-159.319,71.6,83,90,13.8,US,1619797788
43,Port Alfred,-33.5906,26.891,63.0,74,52,15.75,ZA,1619798079
44,Hithadhoo,-0.6,73.0833,84.09,73,37,7.65,MV,1619798079
45,Ocosingo,17.0667,-92.25,82.4,78,75,1.28,MX,1619798080
46,Ilave,-16.0833,-69.6667,52.43,40,0,6.35,PE,1619798080
47,Halifax,44.6453,-63.5724,46.99,93,90,19.57,CA,1619797881
48,Saint-Philippe,-21.3585,55.7679,77.0,83,0,4.61,RE,1619798081
49,Northam,51.0333,-4.2167,51.01,36,19,1.01,GB,1619798081
50,Vila Velha,-20.3297,-40.2925,78.8,61,40,17.27,BR,1619797893
51,Eyl,7.9803,49.8164,84.79,69,76,10.25,SO,1619798082
52,Cascais,38.6979,-9.4215,63.0,55,40,16.11,PT,1619798082
53,Moose Factory,51.2585,-80.6094,30.2,74,75,23.02,CA,1619797934
54,Brae,60.3964,-1.353,44.6,70,40,5.75,GB,1619798083
55,Lorengau,-2.0226,147.2712,80.38,78,95,2.44,PG,1619798083
56,Airai,-8.9266,125.4092,58.17,88,100,2.48,TL,1619798083
57,Bay Roberts,47.5999,-53.2648,50.0,57,75,12.66,CA,1619798084
58,Lakatoro,-16.0999,167.4164,78.22,80,72,10.56,VU,1619798084
59,Udachny,66.4167,112.4,28.42,99,100,3.09,RU,1619798085
60,Culpeper,38.5004,-77.9664,71.01,30,40,18.41,US,1619798085
61,Rio Grande,-32.035,-52.0986,73.99,64,20,13.8,BR,1619798086
62,Luleå,65.5842,22.1547,37.4,38,0,16.11,SE,1619798086
63,Saskylakh,71.9167,114.0833,32.56,87,100,9.33,RU,1619798087
64,Santa Cruz de Barahona,18.2085,-71.1008,84.2,65,40,13.8,DO,1619798087
65,Ofakim,31.3141,34.6203,81.0,45,0,13.62,IL,1619798088
66,Yellowknife,62.456,-114.3525,28.0,93,90,17.27,CA,1619798088
67,Husavik,66.0449,-17.3389,35.6,87,75,12.66,IS,1619797901
68,Carnarvon,-24.8667,113.6333,69.8,78,83,13.8,AU,1619798089
69,General Pico,-35.6566,-63.7568,67.98,50,0,17.11,AR,1619798089
70,Mataura,-46.1927,168.8643,42.01,93,58,4.0,NZ,1619798089
71,Vila,42.0304,-8.1588,55.99,55,27,3.0,PT,1619798090
72,Vostok,46.4856,135.8833,33.85,82,2,2.44,RU,1619798091
73,Butaritari,3.0707,172.7902,82.56,75,80,10.65,KI,1619798091
74,Barrow,71.2906,-156.7887,19.4,86,90,4.61,US,1619798092
75,Arco,45.9177,10.8867,69.01,100,90,20.71,IT,1619798092
76,Kaitangata,-46.2817,169.8464,45.0,72,39,4.0,NZ,1619798093
77,Kenai,60.5544,-151.2583,35.6,80,90,4.61,US,1619798094
78,Tuktoyaktuk,69.4541,-133.0374,12.2,79,20,9.22,CA,1619798094
79,Thompson,55.7435,-97.8558,35.6,48,40,4.61,CA,1619798095
80,Bac Lieu,9.285,105.7244,84.07,72,12,7.23,VN,1619798096
81,Safranbolu,41.2508,32.6942,69.8,46,0,4.61,TR,1619798096
82,Tiksi,71.6872,128.8694,28.42,85,93,4.5,RU,1619798097
83,Bathsheba,13.2167,-59.5167,82.4,57,40,17.27,BB,1619798097
84,Langham,52.3668,-106.9679,57.99,32,75,14.97,CA,1619798098
